,Title,Watched,Season,imdbID,Year,Rated,Director,Actors,Language,Plot,IMDb_link,Runtime,BoxOffice,IMDb,RT,Meta,poster_path,backdrop_path
9,12 Monkeys,True,6.0,tt0114746,1995,R,Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt","English, French, Latin, Spanish, German","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",https://www.imdb.com/title/tt0114746,129,57141459.0,8.0,88.0,74.0,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,/1IWaKG7AWiYMhADxhGtnElDJAGI.jpg
10,2001: A Space Odyssey,True,5.0,tt0062622,1968,G,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester","English, Russian, French","After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.",https://www.imdb.com/title/tt0062622,149,60481243.0,8.3,92.0,84.0,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,/w5IDXtifKntw0ajv2co7jFlTQDM.jpg
11,2010: The Year We Make Contact,False,6.0,tt0086837,1984,PG,Peter Hyams,"Roy Scheider, John Lithgow, Helen Mirren","English, Russian","A joint USA-Soviet expedition is sent to Jupiter to learn exactly what happened to the ""Discovery"" and its H.A.L. 9000 computer.",https://www.imdb.com/title/tt0086837,116,40400657.0,6.7,67.0,53.0,/mEWKXuCMv7mFMxXVSTI3v8UOQuq.jpg,/48ern5F857hPdEwJeUT6bnfGnHF.jpg
8,2073,False,11.0,tt22042346,2024,R,Asif Kapadia,"Naomi Ackie, Samantha Morton, Hector Hewer",English,A woman living in a ruined Earth tries to comprehend how the world was destroyed.,https://www.imdb.com/title/tt22042346,85,7125,5.1,51.0,52.0,/l67ir3kU53FYd6Vjwhqrkih1H1P.jpg,/721p2lNSGp2iSlUUukZwCzEKrnn.jpg
12,A Boy and His Dog,True,2.0,tt0072730,1975,R,L.Q. Jones,"Don Johnson, Jason Robards, Susanne Benton",English,"After WWIII, Vic and his telepathic dog wander a post-apocalyptic wasteland in 2024 as they scavenge for food and sex. They stumble into an underground society where the old ways are preserved. He finds a new purpose in his life.",https://www.imdb.com/title/tt0072730,91,,6.4,78.0,68.0,/dMbkoFzD5sEQvEaqRsIh4pTBJVq.jpg,/sWOQBQYkJvm8W7HGk6J8OAjPl2V.jpg
13,A Scanner Darkly,True,5.0,tt0405296,2006,R,Richard Linklater,"Keanu Reeves, Winona Ryder, Robert Downey Jr.",English,An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.,https://www.imdb.com/title/tt0405296,100,5501616.0,7.0,68.0,73.0,/lUKudOpHICDj6A6SO7DdaZM4W48.jpg,/fdrQusLbssk6WEpyZXVDmyRlylE.jpg
14,A.I. Artificial Intelligence,True,6.0,tt0212720,2001,PG-13,Steven Spielberg,"Haley Joel Osment, Jude Law, Frances O'Connor",English,"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",https://www.imdb.com/title/tt0212720,146,78616689.0,7.2,76.0,65.0,/zxUhHQxKRbVLsaHR1V81SWYADOl.jpg,/n7p6UTAZtkeoHkwCO42BEQaMFJY.jpg
15,Ad Astra,False,8.0,tt2935510,2019,PG-13,James Gray,"Brad Pitt, Tommy Lee Jones, Ruth Negga","English, Norwegian","Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.",https://www.imdb.com/title/tt2935510,123,50188370.0,6.5,83.0,80.0,/xBHvZcjRiWyobQ9kxBhO6B2dtRI.jpg,/AeDS2MKGFy6QcjgWbJBde0Ga6Hd.jpg
16,Akira,True,7.0,tt0094625,1988,R,Katsuhiro Ôtomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama",Japanese,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",https://www.imdb.com/title/tt0094625,124,553171.0,8.0,91.0,67.0,/neZ0ykEsPqxamsX6o5QNUFILQrz.jpg,/pHtVkUvKiG7CEemZkUiqPzjpMri.jpg
17,Alien,True,7.0,tt0078748,1979,R,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt",English,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",https://www.imdb.com/title/tt0078748,117,84206106.0,8.5,93.0,89.0,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,/AmR3JG1VQVxU8TfAvljUhfSFUOx.jpg
